Nepal,Gross Domestic Product (GDP) per Capita in US$,,770
Sri Lanka,Gross Domestic Product (GDP) per Capita in US$,,3920
Thailand,Gross Domestic Product (GDP) per Capita in US$,,5979
Timor-Leste,Gross Domestic Product (GDP) per Capita in US$,,2054
Australia,Gross Domestic Product (GDP) per Capita in US$,,54035
Brunei Darussalam,Gross Domestic Product (GDP) per Capita in US$,,27157
Cambodia,Gross Domestic Product (GDP) per Capita in US$,,1270
China,Gross Domestic Product (GDP) per Capita in US$,,7936
Cook Islands,Gross Domestic Product (GDP) per Capita in US$,,17682
Fiji,Gross Domestic Product (GDP) per Capita in US$,,5651
Japan,Gross Domestic Product (GDP) per Capita in US$,,38529
Kiribati,Gross Domestic Product (GDP) per Capita in US$,,1586
Lao People's Democratic Republic,Gross Domestic Product (GDP) per Capita in US$,,2309
Malaysia,Gross Domestic Product (GDP) per Capita in US$,,9818
Marshall Islands,Gross Domestic Product (GDP) per Capita in US$,,3429
Micronesia (Federated States of),Gross Domestic Product (GDP) per Capita in US$,,3003
Mongolia,Gross Domestic Product (GDP) per Capita in US$,,3660
Nauru,Gross Domestic Product (GDP) per Capita in US$,,9722
New Zealand,Gross Domestic Product (GDP) per Capita in US$,,40398
Niue,Gross Domestic Product (GDP) per Capita in US$,,15228
Palau,Gross Domestic Product (GDP) per Capita in US$,,16925
Papua New Guinea,Gross Domestic Product (GDP) per Capita in US$,,2510
Philippines,Gross Domestic Product (GDP) per Capita in US$,,2941
Republic of Korea,Gross Domestic Product (GDP) per Capita in US$,,29423
Samoa,Gross Domestic Product (GDP) per Capita in US$,,4118
Singapore,Gross Domestic Product (GDP) per Capita in US$,,56257
Solomon Islands,Gross Domestic Product (GDP) per Capita in US$,,1986
Tonga,Gross Domestic Product (GDP) per Capita in US$,,4253
Tuvalu,Gross Domestic Product (GDP) per Capita in US$,,3245
Vanuatu,Gross Domestic Product (GDP) per Capita in US$,,2890
Viet Nam,Gross Domestic Product (GDP) per Capita in US$,,2192
