Republic of Moldova,Gross Domestic Product (GDP) per Capita in PPP Int$,6422.395983
Romania,Gross Domestic Product (GDP) per Capita in PPP Int$,23797.70836
Russian Federation,Gross Domestic Product (GDP) per Capita in PPP Int$,24304.11907
San Marino,Gross Domestic Product (GDP) per Capita in PPP Int$,57474.1176
Serbia,Gross Domestic Product (GDP) per Capita in PPP Int$,15575.40214
Slovakia,Gross Domestic Product (GDP) per Capita in PPP Int$,29676.36556
Slovenia,Gross Domestic Product (GDP) per Capita in PPP Int$,33205.43982
Spain,Gross Domestic Product (GDP) per Capita in PPP Int$,36589.14992
Sweden,Gross Domestic Product (GDP) per Capita in PPP Int$,49776.1298
Switzerland,Gross Domestic Product (GDP) per Capita in PPP Int$,64680.92585
Tajikistan,Gross Domestic Product (GDP) per Capita in PPP Int$,3006.064188
The Republic of North Macedonia,Gross Domestic Product (GDP) per Capita in PPP Int$,14813.34606
Turkey,Gross Domestic Product (GDP) per Capita in PPP Int$,26509.34591
Turkmenistan,Gross Domestic Product (GDP) per Capita in PPP Int$,16895.48835
Ukraine,Gross Domestic Product (GDP) per Capita in PPP Int$,7911.277986
United Kingdom,Gross Domestic Product (GDP) per Capita in PPP Int$,43687.79461
Uzbekistan,Gross Domestic Product (GDP) per Capita in PPP Int$,7823.70974
Bangladesh,Gross Domestic Product (GDP) per Capita in PPP Int$,3955.766291
Bhutan,Gross Domestic Product (GDP) per Capita in PPP Int$,9105.672802
India,Gross Domestic Product (GDP) per Capita in PPP Int$,6634.807601
Indonesia,Gross Domestic Product (GDP) per Capita in PPP Int$,11604.42979
Maldives,Gross Domestic Product (GDP) per Capita in PPP Int$,14042.48678
Myanmar,Gross Domestic Product (GDP) per Capita in PPP Int$,5316.519411
Nepal,Gross Domestic Product (GDP) per Capita in PPP Int$,2641.74793
Sri Lanka,Gross Domestic Product (GDP) per Capita in PPP Int$,12466.25232
Thailand,Gross Domestic Product (GDP) per Capita in PPP Int$,16961.27307
Timor-Leste,Gross Domestic Product (GDP) per Capita in PPP Int$,8170.273436
Australia,Gross Domestic Product (GDP) per Capita in PPP Int$,50135.3468
Brunei Darussalam,Gross Domestic Product (GDP) per Capita in PPP Int$,78134.66724
Cambodia,Gross Domestic Product (GDP) per Capita in PPP Int$,3742.959006
China,Gross Domestic Product (GDP) per Capita in PPP Int$,15238.94788
Cook Islands,Gross Domestic Product (GDP) per Capita in PPP Int$,20529.02557
Fiji,Gross Domestic Product (GDP) per Capita in PPP Int$,9670.561287
Japan,Gross Domestic Product (GDP) per Capita in PPP Int$,39730.1755
Kiribati,Gross Domestic Product (GDP) per Capita in PPP Int$,2211.882929
Lao People's Democratic Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,6473.249403
Malaysia,Gross Domestic Product (GDP) per Capita in PPP Int$,28246.86487
Marshall Islands,Gross Domestic Product (GDP) per Capita in PPP Int$,3539.970008
Micronesia (Federated States of),Gross Domestic Product (GDP) per Capita in PPP Int$,3367.864443
Mongolia,Gross Domestic Product (GDP) per Capita in PPP Int$,12140.82679
Nauru,Gross Domestic Product (GDP) per Capita in PPP Int$,11969.27864
New Zealand,Gross Domestic Product (GDP) per Capita in PPP Int$,40281.82201
Niue,Gross Domestic Product (GDP) per Capita in PPP Int$,13661.83243
Palau,Gross Domestic Product (GDP) per Capita in PPP Int$,18249.25884
Papua New Guinea,Gross Domestic Product (GDP) per Capita in PPP Int$,4209.032089
Philippines,Gross Domestic Product (GDP) per Capita in PPP Int$,7784.145068
Republic of Korea,Gross Domestic Product (GDP) per Capita in PPP Int$,39748.88684
Samoa,Gross Domestic Product (GDP) per Capita in PPP Int$,6232.526806
Singapore,Gross Domestic Product (GDP) per Capita in PPP Int$,90702.36075
Solomon Islands,Gross Domestic Product (GDP) per Capita in PPP Int$,2271.624232
Tonga,Gross Domestic Product (GDP) per Capita in PPP Int$,6527.174987
Tuvalu,Gross Domestic Product (GDP) per Capita in PPP Int$,3715.268933
Vanuatu,Gross Domestic Product (GDP) per Capita in PPP Int$,3011.853607
Viet Nam,Gross Domestic Product (GDP) per Capita in PPP Int$,6365.173974
